section_id,message_ar,message_en
3,كن لطيفًا مع نفسك، فأنت تستحق كل خير.,"Be kind to yourself, for you deserve all the good."
3,لا تؤجل عمل اليوم إلى الغد، فالوقت كالسيف إن لم تقطعه قطعك.,"Do not postpone today's work for tomorrow, for time is like a sword; if you do not cut it, it will cut you."
3,تعلم من أخطائك، فهي دروس لا تُنسى.,"Learn from your mistakes, for they are unforgettable lessons."
3,كن شجاعًا في مواجهة التحديات، فالشجاعة مفتاح النجاح.,"Be brave in facing challenges, for courage is the key to success."
3,لا تقارن نفسك بالآخرين، فلكل شخص رحلته الفريدة.,"Do not compare yourself to others, for everyone has their unique journey."
3,كن ممتنًا لكل ما تملك، فالشكر يجلب المزيد من النعم.,"Be grateful for what you have, for gratitude brings more blessings."
3,لا تخف من الفشل، فهو بداية الطريق إلى النجاح.,"Do not fear failure, for it is the beginning of the road to success."
3,كن صادقًا مع نفسك ومع الآخرين، فالصدق يبني الثقة.,"Be honest with yourself and others, for honesty builds trust."
3,تعلم أن تقول 'لا' عندما تحتاج إلى ذلك، فحدودك مهمة.,"Learn to say 'no' when you need to, for your boundaries matter."
3,"كن متسامحًا، فالتسامح يحررك من أعباء الماضي.","Be forgiving, for forgiveness frees you from the burdens of the past."
3,"اقرأ كل يوم، فالعلم غذاء الروح.","Read every day, for knowledge is the food of the soul."
3,كن متفائلًا، فالتفاؤل يجلب الأمل والطاقة الإيجابية.,"Be optimistic, for optimism brings hope and positive energy."
3,لا تهمل صحتك، فالجسم السليم هو أساس الحياة السعيدة.,"Do not neglect your health, for a healthy body is the foundation of a happy life."
3,"كن مستمعًا جيدًا، فالإصغاء فن يُقدره الجميع.","Be a good listener, for listening is an art appreciated by everyone."
3,لا تخف من طلب المساعدة، فكلنا نحتاج إلى الدعم أحيانًا.,"Do not be afraid to ask for help, for we all need support sometimes."
3,كن صبورًا، فالصبر مفتاح الفرج.,"Be patient, for patience is the key to relief."
3,لا تنسَ أن تحلم، فالأحلام هي بداية كل إنجاز عظيم.,"Do not forget to dream, for dreams are the beginning of every great achievement."
3,كن متواضعًا، فالتواضع يجلب المحبة والاحترام.,"Be humble, for humility brings love and respect."
3,"لا تتردد في تجربة أشياء جديدة، فالحياة مغامرة جميلة.","Do not hesitate to try new things, for life is a beautiful adventure."
3,كن واعيًا بوقتك، فالوقت هو أغلى ما تملك.,"Be mindful of your time, for time is the most precious thing you have."
3,لا تنسَ أن تستمتع باللحظات الصغيرة، فهي التي تصنع الذكريات الكبيرة.,"Do not forget to enjoy the small moments, for they create the big memories."
3,كن مبدعًا، فالإبداع يجعل الحياة أكثر إثارة.,"Be creative, for creativity makes life more exciting."
3,لا تخف من التغيير، فالتغيير هو بداية النمو.,"Do not fear change, for change is the beginning of growth."
3,كن صادقًا في مشاعرك، فالصدق العاطفي يبني علاقات قوية.,"Be honest in your feelings, for emotional honesty builds strong relationships."
3,لا تنسَ أن تبتسم، فالابتسامة هي لغة عالمية للسلام.,"Do not forget to smile, for a smile is a universal language of peace."
3,كن متعاطفًا مع الآخرين، فالتعاطف يجعل العالم مكانًا أفضل.,"Be empathetic towards others, for empathy makes the world a better place."
3,لا تهمل علاقاتك، فالإنسان لا يعيش بمفرده.,"Do not neglect your relationships, for no one lives alone."
3,كن شغوفًا بما تفعل، فالشغاف هو الوقود الذي يحرك النجاح.,"Be passionate about what you do, for passion is the fuel that drives success."
3,"لا تنسَ أن تتعلم من كل شخص تقابله، فكل شخص لديه شيء ليعلمك إياه.","Do not forget to learn from everyone you meet, for everyone has something to teach you."
3,كن متوازنًا في حياتك، فالتوازن هو سر السعادة.,"Be balanced in your life, for balance is the secret to happiness."
3,لا تخف من الاعتراف بأخطائك، فذلك يدل على قوة شخصيتك.,"Do not be afraid to admit your mistakes, for it shows the strength of your character."
3,كن مخلصًا في عملك، فالإخلاص يجلب النجاح والرضا.,"Be sincere in your work, for sincerity brings success and satisfaction."
3,لا تنسَ أن تعتني بعلاقتك مع نفسك، فأنت أهم شخص في حياتك.,"Do not forget to take care of your relationship with yourself, for you are the most important person in your life."
3,كن متفائلًا حتى في أصعب الأوقات، فبعد العسر يأتي اليسر.,"Be optimistic even in the toughest times, for after hardship comes ease."
3,لا تنسَ أن تستمتع بالرحلة، وليس فقط بالوصول إلى الهدف.,"Do not forget to enjoy the journey, not just reaching the goal."
3,كن شاكرًا لكل تجربة تمر بها، فكل تجربة تعلمك شيئًا جديدًا.,"Be grateful for every experience you go through, for every experience teaches you something new."
3,لا تخف من التعبير عن رأيك، فصوتك مهم.,"Do not be afraid to express your opinion, for your voice matters."
3,كن مستعدًا للتغيير، فالحياة مليئة بالمفاجآت.,"Be ready for change, for life is full of surprises."
3,"لا تنسَ أن تخصص وقتًا للراحة، فالراحة جزء من النجاح.","Do not forget to take time to rest, for rest is part of success."
3,كن متسامحًا مع نفسك، فأنت بشر وتخطئ مثل الجميع.,"Be forgiving with yourself, for you are human and make mistakes like everyone else."
3,لا تنسَ أن تحتفل بإنجازاتك، مهما كانت صغيرة.,"Do not forget to celebrate your achievements, no matter how small."
3,كن متواضعًا في النجاح، ومتسامحًا في الفشل.,"Be humble in success, and forgiving in failure."
3,لا تخف من طلب النصيحة، فالحكمة تأتي من التجارب.,"Do not be afraid to ask for advice, for wisdom comes from experiences."
3,كن صادقًا في نواياك، فالنوايا الطيبة تجلب الخير.,"Be sincere in your intentions, for good intentions bring goodness."
3,لا تنسَ أن تتعلم من الطبيعة، فهي أعظم معلم.,"Do not forget to learn from nature, for it is the greatest teacher."
3,كن متسامحًا مع الآخرين، فكل شخص يحمل عبئًا لا تعرفه.,"Be forgiving towards others, for everyone carries a burden you do not know."
3,لا تنسَ أن تخصص وقتًا للتفكير، فالتفكير هو بداية الحكمة.,"Do not forget to take time to think, for thinking is the beginning of wisdom."
3,كن شجاعًا في اتخاذ القرارات، فالقرارات هي التي تصنع المستقبل.,"Be brave in making decisions, for decisions shape the future."
3,لا تنسَ أن تستمتع باللحظة الحالية، فهي كل ما تملك.,"Do not forget to enjoy the present moment, for it is all you have."
3,كن ممتنًا لكل يوم جديد، فكل يوم هو فرصة جديدة.,"Be grateful for each new day, for each day is a new opportunity."
3,لا تخف من التعبير عن حبك، فالحب هو أجمل شعور في العالم.,"Do not be afraid to express your love, for love is the most beautiful feeling in the world."
3,كن صبورًا مع نفسك، فالنمو يحتاج إلى وقت.,"Be patient with yourself, for growth takes time."
3,لا تنسَ أن تتعلم من الفشل، فالفشل هو بداية النجاح.,"Do not forget to learn from failure, for failure is the beginning of success."
3,كن متواضعًا في النجاح، ومتسامحًا في الفشل.,"Be humble in success, and forgiving in failure."
3,لا تخف من طلب المساعدة، فكلنا نحتاج إلى الدعم أحيانًا.,"Do not be afraid to ask for help, for we all need support sometimes."
3,كن صادقًا مع نفسك، فالصدق مع الذات هو بداية التغيير.,"Be honest with yourself, for honesty with oneself is the beginning of change."
3,لا تنسَ أن تستمتع باللحظات الصغيرة، فهي التي تصنع الذكريات الكبيرة.,"Do not forget to enjoy the small moments, for they create the big memories."
3,كن مبدعًا، فالإبداع يجعل الحياة أكثر إثارة.,"Be creative, for creativity makes life more exciting."
3,لا تخف من التغيير، فالتغيير هو بداية النمو.,"Do not fear change, for change is the beginning of growth."
3,كن صادقًا في مشاعرك، فالصدق العاطفي يبني علاقات قوية.,"Be honest in your feelings, for emotional honesty builds strong relationships."
3,لا تنسَ أن تبتسم، فالابتسامة هي لغة عالمية للسلام.,"Do not forget to smile, for a smile is a universal language of peace."
3,كن متعاطفًا مع الآخرين، فالتعاطف يجعل العالم مكانًا أفضل.,"Be empathetic towards others, for empathy makes the world a better place."
3,لا تهمل علاقاتك، فالإنسان لا يعيش بمفرده.,"Do not neglect your relationships, for no one lives alone."
3,كن شغوفًا بما تفعل، فالشغاف هو الوقود الذي يحرك النجاح.,"Be passionate about what you do, for passion is the fuel that drives success."
3,"لا تنسَ أن تتعلم من كل شخص تقابله، فكل شخص لديه شيء ليعلمك إياه.","Do not forget to learn from everyone you meet, for everyone has something to teach you."
3,كن متوازنًا في حياتك، فالتوازن هو سر السعادة.,"Be balanced in your life, for balance is the secret to happiness."
3,لا تخف من الاعتراف بأخطائك، فذلك يدل على قوة شخصيتك.,"Do not be afraid to admit your mistakes, for it shows the strength of your character."
3,كن مخلصًا في عملك، فالإخلاص يجلب النجاح والرضا.,"Be sincere in your work, for sincerity brings success and satisfaction."
3,لا تنسَ أن تعتني بعلاقتك مع نفسك، فأنت أهم شخص في حياتك.,"Do not forget to take care of your relationship with yourself, for you are the most important person in your life."
3,كن متفائلًا حتى في أصعب الأوقات، فبعد العسر يأتي اليسر.,"Be optimistic even in the toughest times, for after hardship comes ease."
3,لا تنسَ أن تستمتع بالرحلة، وليس فقط بالوصول إلى الهدف.,"Do not forget to enjoy the journey, not just reaching the goal."
3,كن شاكرًا لكل تجربة تمر بها، فكل تجربة تعلمك شيئًا جديدًا.,"Be grateful for every experience you go through, for every experience teaches you something new."
3,لا تخف من التعبير عن رأيك، فصوتك مهم.,"Do not be afraid to express your opinion, for your voice matters."
3,كن مستعدًا للتغيير، فالحياة مليئة بالمفاجآت.,"Be ready for change, for life is full of surprises."
3,"لا تنسَ أن تخصص وقتًا للراحة، فالراحة جزء من النجاح.","Do not forget to take time to rest, for rest is part of success."
3,كن متسامحًا مع نفسك، فأنت بشر وتخطئ مثل الجميع.,"Be forgiving with yourself, for you are human and make mistakes like everyone else."
